,GDthoathuan,Giathamchieu,Mocua,Thapnhat,Nuocngoaiban,Khoiluong,Dongcua,Giatri,Thaydoi,Nuocngoaimua,Thaydoiphantram,Caonhat,Ngay
29,0,13.57,13.49,13.49,0,"10,660",13.57,0,0.0,960,0%,13.57,2014-07-14
28,"100,000",13.57,14.49,14.49,0,"13,480",14.49,0,0.92,"2,550",6.78%,14.49,2014-07-15
27,"500,000",14.49,15.49,15.49,0,"17,290",15.48,0,0.99,"3,490",6.83%,15.49,2014-07-16
26,0,15.48,16.56,16.56,0,"95,120",16.57,0,1.09,"84,660",7.04%,16.56,2014-07-17
155,0,16.57,17.65,17.65,0,"134,460",17.65,0,1.08,"98,070",6.52%,17.65,2014-07-18
154,0,17.65,18.82,16.82,"2,550","311,030",17.65,0,0.0,"89,880",0%,18.82,2014-07-21
153,0,17.65,17.32,17.32,0,"568,890",18.15,0,0.5,"552,170",2.83%,18.15,2014-07-22
152,0,18.15,18.32,17.98,0,"23,330",18.15,0,0.0,"19,110",0%,18.32,2014-07-23
151,0,18.15,17.98,17.98,0,"33,590",17.98,0,-0.17,"24,700",-0.94%,18.15,2014-07-24
150,0,17.98,17.98,17.98,0,"79,630",17.98,0,0.0,"70,240",0%,18.15,2014-07-25
149,0,17.98,17.98,17.98,0,"93,810",17.98,0,0.0,"87,670",0%,18.15,2014-07-28
148,0,17.98,17.98,17.48,0,"25,300",17.65,0,-0.33,"18,140",-1.84%,17.98,2014-07-29
147,0,17.65,17.82,17.48,0,"16,160",17.65,0,0.0,"15,070",0%,17.82,2014-07-30
146,0,17.65,17.48,16.82,0,"37,400",17.15,0,-0.5,"21,760",-2.83%,17.48,2014-07-31
145,0,17.15,17.48,16.98,0,"28,290",17.15,0,0.0,"21,930",0%,17.48,2014-08-01
144,0,17.15,17.15,17.15,"2,000","13,350",17.15,0,0.0,"13,300",0%,17.15,2014-08-04
143,0,17.15,17.32,17.32,0,"21,340",17.32,0,0.17,"18,090",0.99%,17.48,2014-08-05
