,Caonhat,Dongcua,GDthoathuan,Giathamchieu,Giatri,Khoiluong,Mocua,Nuocngoaiban,Nuocngoaimua,Thapnhat,Thaydoi,Thaydoiphantram,Ngay
53,13.57,13.57,0,13.57,0,"10,660",13.49,0,960,13.49,0.0,0%,2014-07-14
52,14.49,14.49,"100,000",13.57,0,"13,480",14.49,0,"2,550",14.49,0.92,6.78%,2014-07-15
51,15.49,15.48,"500,000",14.49,0,"17,290",15.49,0,"3,490",15.49,0.99,6.83%,2014-07-16
50,16.56,16.57,0,15.48,0,"95,120",16.56,0,"84,660",16.56,1.09,7.04%,2014-07-17
103,17.65,17.65,0,16.57,0,"134,460",17.65,0,"98,070",17.65,1.08,6.52%,2014-07-18
102,18.82,17.65,0,17.65,0,"311,030",18.82,"2,550","89,880",16.82,0.0,0%,2014-07-21
101,18.15,18.15,0,17.65,0,"568,890",17.32,0,"552,170",17.32,0.5,2.83%,2014-07-22
100,18.32,18.15,0,18.15,0,"23,330",18.32,0,"19,110",17.98,0.0,0%,2014-07-23
99,18.15,17.98,0,18.15,0,"33,590",17.98,0,"24,700",17.98,-0.17,-0.94%,2014-07-24
98,18.15,17.98,0,17.98,0,"79,630",17.98,0,"70,240",17.98,0.0,0%,2014-07-25
97,18.15,17.98,0,17.98,0,"93,810",17.98,0,"87,670",17.98,0.0,0%,2014-07-28
96,17.98,17.65,0,17.98,0,"25,300",17.98,0,"18,140",17.48,-0.33,-1.84%,2014-07-29
95,17.82,17.65,0,17.65,0,"16,160",17.82,0,"15,070",17.48,0.0,0%,2014-07-30
94,17.48,17.15,0,17.65,0,"37,400",17.48,0,"21,760",16.82,-0.5,-2.83%,2014-07-31
93,17.48,17.15,0,17.15,0,"28,290",17.48,0,"21,930",16.98,0.0,0%,2014-08-01
92,17.15,17.15,0,17.15,0,"13,350",17.15,"2,000","13,300",17.15,0.0,0%,2014-08-04
91,17.48,17.32,0,17.15,0,"21,340",17.32,0,"18,090",17.32,0.17,0.99%,2014-08-05
90,17.82,17.82,0,17.32,0,"20,800",17.32,0,"13,390",17.32,0.5,2.89%,2014-08-06
89,17.82,17.82,0,17.82,0,"17,250",17.82,270,"7,450",17.65,0.0,0%,2014-08-07
88,17.82,17.82,0,17.82,0,"9,190",17.65,0,"2,150",17.65,0.0,0%,2014-08-08
87,18.99,18.98,0,17.82,0,"179,250",18.99,0,"154,490",18.49,1.16,6.51%,2014-08-11
86,19.65,19.65,"20,000",18.98,0,"64,140",19.15,0,"38,960",19.15,0.67,3.53%,2014-08-12
85,20.82,20.65,0,19.65,0,"147,010",19.82,0,"106,220",19.48,1.0,5.09%,2014-08-13
84,21.98,21.98,0,20.65,0,"149,800",20.65,"3,330","66,550",20.65,1.33,6.44%,2014-08-14
83,23.48,23.48,0,21.98,0,"100,130",23.31,500,"52,970",22.65,1.5,6.82%,2014-08-15
82,24.81,24.81,0,23.48,0,"29,910",24.31,0,"2,090",23.98,1.33,5.66%,2014-08-18
81,24.64,23.14,0,24.81,0,"39,150",24.14,"4,220",210,23.14,-1.67,-6.73%,2014-08-19
80,23.31,23.14,0,23.14,0,"46,550",21.81,0,"12,900",21.81,0.0,0%,2014-08-20
79,23.14,22.48,0,23.14,0,"58,570",22.81,"22,510","51,130",22.47,-0.66,-2.85%,2014-08-21
128,23.48,23.48,0,22.48,0,"45,860",22.48,0,"28,860",22.48,1.0,4.45%,2014-08-22
127,24.31,23.98,0,23.48,0,"61,190",24.15,200,"51,230",23.48,0.5,2.13%,2014-08-25
126,23.98,22.31,0,23.98,0,"29,880",23.98,"21,560",920,22.31,-1.67,-6.96%,2014-08-26
125,23.31,22.81,"20,000",22.31,0,"11,450",22.98,"20,000","27,480",22.48,0.5,2.24%,2014-08-27
124,22.81,22.81,0,22.81,0,"5,070",22.81,0,510,22.48,0.0,0%,2014-08-28
123,22.81,22.48,0,22.81,0,"15,750",22.81,0,"3,500",21.64,-0.33,-1.45%,2014-08-29
122,22.65,22.48,0,22.48,0,"25,120",22.65,0,"11,860",22.15,0.0,0%,2014-09-03
121,22.31,21.98,0,22.48,0,"37,750",22.31,"1,350",400,21.65,-0.5,-2.22%,2014-09-04
120,22.65,22.64,0,21.98,0,"44,760",22.15,0,"20,650",22.15,0.66,3%,2014-09-05
119,24.14,24.14,0,22.64,0,"171,700",22.97,0,"137,050",22.64,1.5,6.63%,2014-09-08
118,25.8,24.81,0,24.14,0,"88,810",25.8,"6,310","37,280",24.47,0.67,2.78%,2014-09-09
117,25.48,25.31,0,24.81,0,"23,640",25.48,0,"13,920",24.31,0.5,2.02%,2014-09-10
116,25.64,25.31,0,25.31,0,"25,860",25.14,220,"4,000",24.98,0.0,0%,2014-09-11
115,25.48,25.14,0,25.31,0,"44,670",25.31,0,"40,140",24.81,-0.17,-0.67%,2014-09-12
114,25.47,25.31,0,25.14,0,"14,500",25.14,0,"12,710",25.14,0.17,0.68%,2014-09-15
113,25.31,25.31,0,25.31,0,"65,900",25.14,0,"63,910",24.98,0.0,0%,2014-09-16
112,25.64,25.31,0,25.31,0,"6,430",25.64,0,"1,860",24.98,0.0,0%,2014-09-17
111,25.64,25.64,"30,000",25.31,0,"13,030",24.98,"30,800","36,140",24.98,0.33,1.30%,2014-09-18
110,27.3,27.31,0,25.64,0,"20,120",26.14,0,"2,110",26.14,1.67,6.51%,2014-09-19
109,29.14,29.14,0,27.31,0,"28,590",29.14,300,"1,400",27.98,1.83,6.70%,2014-09-22
108,30.47,28.97,0,29.14,0,"13,620",29.97,"4,750",0,28.97,-0.17,-0.58%,2014-09-23
107,29.64,28.81,0,28.97,0,"5,790",29.64,"3,240","3,000",28.8,-0.16,-0.55%,2014-09-24
